call_idx,turn_idx,sentence,act
180,11,is there anything else,['reqalts']
180,12,efes restaurant serves turkish food in the moderate price range,"['inform', 'offer']"
180,13,what is the addresses,['request']
180,14,sure efes restaurant is on king street city centre,"['inform', 'offer']"
180,15,what is the phone number,['request']
180,16,the phone number of efes restaurant is,"['inform', 'offer']"
180,17,thank you good bye,"['thankyou', 'bye']"
181,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
181,1,i would like steakhouse food,['inform']
181,2,i m sorry but there is no restaurant serving steakhouse food,['canthelp']
181,3,how about european food,"['inform', 'reqalts']"
181,4,i m sorry but there is no restaurant serving steakhouse food,['canthelp']
181,5,how about european food,"['inform', 'reqalts']"
181,6,you are looking for a european restaurant right?,['expl-conf']
181,7,yes,['affirm']
181,8,what part of town do you have in mind?,['request']
181,9,doesnt matter,['inform']
181,10,ok a restaurant in any part of town is that right?,['expl-conf']
181,11,yes,['affirm']
181,12,would you like something in the cheap moderate or expensive price range?,['request']
181,13,it doesnt matter,['inform']
181,14,hotel du vin and bistro serves european food,"['inform', 'offer']"
181,15,what is the phone number,['request']
181,16,the phone number of hotel du vin and bistro is,"['inform', 'offer']"
181,17,noise thank you goodbye,['thankyou']
182,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
182,1,i want an expensive restaurant serving european food,['inform']
182,2,what part of town do you have in mind?,['request']
182,3,it doesnt matter,['inform']
182,4,serves european food in the expensive price range,"['inform', 'offer']"
182,5,is there anything else,['reqalts']
182,6,michaelhouse cafe serves european food in the expensive price range,"['inform', 'offer']"
182,7,what is the phone number,['request']
182,8,the phone number of michaelhouse cafe is,"['inform', 'offer']"
182,9,thank you good bye,"['thankyou', 'bye']"
183,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
183,1,i would like an expensive restaurant in the east part of,['inform']
183,2,what kind of food would you like?,['request']
183,3,doesnt matter,['inform']
183,4,grafton hotel restaurant is a nice restaurant in the east of town serving british food,"['inform', 'offer']"
183,5,is there anything else,['reqalts']
183,6,grafton hotel restaurant is a nice restaurant in the east of town in the expensive price range,"['inform', 'offer']"
183,7,is there anything else,['reqalts']
183,8,grafton hotel restaurant is a nice restaurant in the east of town in the expensive price range,"['inform', 'offer']"
183,9,is there another restaurant,['reqalts']
183,10,grafton hotel restaurant is a nice restaurant in the east of town in the expensive price range,"['inform', 'offer']"
183,11,is there anything else,['reqalts']
183,12,sitar tandoori is a nice restaurant in the east of town serving indian food,"['inform', 'offer']"
183,13,what is the phone number,['request']
183,14,the phone number of sitar tandoori is,"['inform', 'offer']"
183,15,what is the type of food,['request']
183,16,sitar tandoori serves indian food,"['inform', 'offer']"
183,17,thank you good bye,"['thankyou', 'bye']"
184,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
184,1,i want a moderately priced restaurant in the north town,['inform']
184,2,the nirala is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
184,3,what is the addresses,['request']
184,4,sure the nirala is on milton road chesterton,"['inform', 'offer']"
184,5,what is the phone number,['request']
184,6,the phone number of the nirala is,"['inform', 'offer']"
184,7,thank you good bye,"['thankyou', 'bye']"
185,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
185,1,a restaurant in the north part of town,['inform']
185,2,what kind of food would you like?,['request']
185,3,barbecue,['inform']
185,4,i m sorry but there is no restaurant serving barbeque food,['canthelp']
185,5,french food,['inform']
185,6,restaurant two two is a nice place in the north of town serving tasty french food,"['inform', 'offer']"
185,7,what is the phone number,['request']
185,8,the phone number of restaurant two two is,"['inform', 'offer']"
185,9,thank you good bye,"['thankyou', 'bye']"
186,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
186,1,im looking for an expensive restaurant serving turkish food,['inform']
186,2,what kind of food would you like?,['request']
186,3,turkish,['inform']
186,4,meze bar restaurant is a great restaurant serving turkish food and it is in the expensive price range,"['inform', 'offer']"
186,5,what is the post code,['request']
186,6,the post code of meze bar restaurant is c b n f,"['inform', 'offer']"
186,7,thank you good bye,"['thankyou', 'bye']"
187,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
187,1,i would like a restaurant that serves thai food,['inform']
187,2,bangkok city serves thai food,"['inform', 'offer']"
187,3,what is the addresses,['request']
187,4,sure bangkok city is on green street city centre,"['inform', 'offer']"
187,5,what is the phone number,['request']
187,6,the phone number of bangkok city is,"['inform', 'offer']"
187,7,could you repeat the phone number,['request']
187,8,the phone number of bangkok city is,"['inform', 'offer']"
187,9,what is the price range,['request']
187,10,bangkok city is in the expensive price range,"['inform', 'offer']"
187,11,thank you good bye,"['thankyou', 'bye']"
188,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
188,1,i want an expensive restaurant that serves sea food,['inform']
188,2,loch fyne serves seafood food in the expensive price range,"['inform', 'offer']"
188,3,could you repeat the restaurant name,['request']
188,4,loch fyne serves seafood food in the expensive price range,"['inform', 'offer']"
188,5,could you repeat the name,['request']
188,6,loch fyne is a great restaurant,['offer']
188,7,what is the phone number,['request']
188,8,the phone number of loch fyne is,"['inform', 'offer']"
188,9,what is the area,['request']
188,10,loch fyne is a nice place in the centre of town,"['inform', 'offer']"
188,11,thank you good bye,"['thankyou', 'bye']"
189,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
189,1,i want a restaurant in the center,['inform']
189,2,what part of town do you have in mind?,['request']
189,3,the center,['inform']
189,4,would you like something in the cheap moderate or expensive price range?,['request']
189,5,i want english food in the center of town,['inform']
189,6,sorry there is no english restaurant in the centre of town,['canthelp']
189,7,is there mediterranean food,['inform']
189,8,la mimosa is a nice restaurant in the centre of town serving mediterranean food,"['inform', 'offer']"
189,9,what is the addresses,['request']
189,10,sure la mimosa is on thompsons lane fen ditton,"['inform', 'offer']"
189,11,what is the addresses,['request']
189,12,sure la mimosa is on thompsons lane fen ditton,"['inform', 'offer']"
189,13,what is the phone number,['request']
189,14,the phone number of la mimosa is,"['inform', 'offer']"
189,15,thank you good bye,"['thankyou', 'bye']"
190,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
190,1,im looking for a moderately priced restaurant in the north part of town,['inform']
190,2,meghna is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
190,3,what is the phone number,['request']
190,4,the phone number of meghna is,"['inform', 'offer']"
190,5,what is the type of food,['request']
190,6,meghna is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
190,7,what type of food,['request']
190,8,meghna serves indian food,"['inform', 'offer']"
190,9,thank you good bye,"['thankyou', 'bye']"
191,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
191,1,im looking for a cheap restaurant in the south part of town,['inform']
191,2,nando s is a nice restaurant in the south of town in the cheap price range,"['inform', 'offer']"
191,3,what is the addresses,['request']
191,4,sure nando s is on cambridge leisure park clifton way,"['inform', 'offer']"
191,5,thank you good bye,"['thankyou', 'bye']"
192,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
192,1,im looking for a restaurant in the north part of town serving in,['inform']
192,2,would you like something in the cheap moderate or expensive price range?,['request']
192,3,doesnt matter,['inform']
192,4,would you like something in the cheap moderate or expensive price range?,['request']
192,5,doesnt matter,['inform']
192,6,da vinci pizzeria is in the north part of town,"['inform', 'offer']"
192,7,what type of food does it serve,['request']
192,8,da vinci pizzeria serves italian food,"['inform', 'offer']"
192,9,i want indian food,['inform']
192,10,royal spice is a nice restaurant in the north of town serving indian food,"['inform', 'offer']"
192,11,what is the addresses,['request']
192,12,sure royal spice is on victoria avenue chesterton,"['inform', 'offer']"
192,13,what is the phone number,['request']
192,14,the phone number of royal spice is,"['inform', 'offer']"
192,15,thank you good bye,"['thankyou', 'bye']"
193,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
193,1,im looking for hungarian food in the north of town,['inform']
193,2,sorry there is no hungarian restaurant in the north of town,['canthelp']
193,3,asian oriental,['inform']
193,4,saigon city is a nice restaurant in the north of town serving asian oriental food,"['inform', 'offer']"
193,5,the addresses and phone number,['request']
193,6,the phone number of saigon city is and it is on high street chesterton chesterton,"['inform', 'offer']"
193,7,thank you good bye,"['thankyou', 'bye']"
194,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
194,1,im looking for a restaurant in the east part of town serving catalan food,['inform']
194,2,what kind of food would you like?,['request']
194,3,catalan,['inform']
194,4,what kind of food would you like?,['request']
194,5,catalan,['inform']
194,6,what kind of food would you like?,['request']
194,7,catalonian,['inform']
194,8,yu garden is a nice place in the east of town,"['inform', 'offer']"
194,9,how about indian food,"['inform', 'reqalts']"
194,10,restaurant is a nice place in the east of town serving tasty indian food,"['inform', 'offer']"
194,11,what is the addresses and phone number,['request']
194,12,sure restaurant is on newmarket road fen ditton,"['inform', 'offer']"
194,13,phone number,['request']
194,14,the phone number of restaurant is,"['inform', 'offer']"
194,15,thank you good bye,"['thankyou', 'bye']"
195,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
195,1,cheap restaurant in the east of town,['inform']
195,2,the missing sock is a nice place in the east of town and the prices are cheap,"['inform', 'offer']"
195,3,phone number and post code,['request']
195,4,the phone number of the missing sock is and its postcode is c b a q,"['inform', 'offer']"
195,5,thank you good bye,"['thankyou', 'bye']"
196,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
196,1,im looking for moderately priced in the north part of town,['inform']
196,2,the nirala is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
196,3,is there anything else,['reqalts']
196,4,meghna is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
196,5,what is the addresses and phone number,['request']
196,6,the phone number of meghna is and it is on victoria road chesterton,"['inform', 'offer']"
196,7,thank you good bye,"['thankyou', 'bye']"
197,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
197,1,moderately priced restaurant serving moroccan food,['inform']
197,2,i m sorry but there is no restaurant serving moroccan food,['canthelp']
197,3,how about indian food,"['inform', 'reqalts']"
197,4,i m sorry but there is no restaurant serving moroccan food,['canthelp']
197,5,indian food,['inform']
197,6,what part of town do you have in mind?,['request']
197,7,i dont care,['inform']
197,8,curry prince serves indian food in the moderate price range,"['inform', 'offer']"
197,9,whats the addresses and phone number,['request']
197,10,the phone number of curry prince is and it is on newmarket road fen ditton,"['inform', 'offer']"
197,11,thank you good bye,"['thankyou', 'bye']"
198,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
198,1,expensive food in the south of town,['inform']
198,2,what part of town do you have in mind?,['request']
198,3,south,['inform']
198,4,what part of town do you have in mind?,['request']
198,5,south,['inform']
198,6,what kind of food would you like?,['request']
198,7,i dont care,['inform']
198,8,peking restaurant is a nice place in the south of town and the prices are expensive,"['inform', 'offer']"
198,9,what type of food,['request']
198,10,peking restaurant serves chinese food,"['inform', 'offer']"
198,11,what is the addresses and phone number,['request']
198,12,the phone number of peking restaurant is and it is on homerton street city centre,"['inform', 'offer']"
198,13,thank you good bye,"['thankyou', 'bye']"
199,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
199,1,looking for a restaurant in the north of town,['inform']
199,2,what kind of food would you like?,['request']
199,3,creative food,['inform']
199,4,sorry there is no creative restaurant in the north of town,['canthelp']
199,5,indian food,['inform']
199,6,the nirala is a nice restaurant in the north of town serving indian food,"['inform', 'offer']"
199,7,addresses phone number,['request']
199,8,the phone number of the nirala is,"['inform', 'offer']"
199,9,the addresses,['request']
199,10,sure the nirala is on milton road chesterton,"['inform', 'offer']"
199,11,price range,['request']
199,12,the nirala is in the moderate price range,"['inform', 'offer']"
199,13,thank you good bye,"['thankyou', 'bye']"
200,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
200,1,im looking for cheap food in the north of town,['inform']
200,2,what kind of food would you like?,['request']
200,3,i dont care,['inform']
200,4,da vinci pizzeria is a nice place in the north of town and the prices are cheap,"['inform', 'offer']"
200,5,is there anything else,['reqalts']
200,6,royal spice is a nice place in the north of town and the prices are cheap,"['inform', 'offer']"
200,7,phone number,['request']
200,8,royal spice is a great restaurant,['offer']
200,9,the phone number,['request']
200,10,the phone number of royal spice is,"['inform', 'offer']"
200,11,thank you good bye,"['thankyou', 'bye']"
201,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
201,1,vietnamese food,['inform']
201,2,thanh binh serves vietnamese food,"['inform', 'offer']"
201,3,phone number and area,['request']
201,4,thanh binh is a great restaurant,['offer']
201,5,whats the phone number,['request']
201,6,the phone number of thanh binh is,"['inform', 'offer']"
201,7,what area is it in,['request']
201,8,thanh binh is a nice place in the west of town,"['inform', 'offer']"
201,9,thank you good bye,"['thankyou', 'bye']"
202,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
202,1,looking for an expensive restaurant in the east of town,['inform']
202,2,what kind of food would you like?,['request']
202,3,i dont care,['inform']
202,4,royal standard is a nice place in the east of town and the prices are expensive,"['inform', 'offer']"
202,5,whats the addresses and the phone number,['request']
202,6,the phone number of royal standard is and it is on mill road city centre,"['inform', 'offer']"
202,7,thank you good bye,"['thankyou', 'bye']"
203,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
203,1,sil,['null']
203,2,what part of town do you have in mind?,['request']
203,3,i dont care,['inform']
203,4,what kind of food would you like?,['request']
203,5,portuguese food,['inform']
203,6,nando s city centre serves portuguese food,"['inform', 'offer']"
203,7,anything else,['reqalts']
203,8,nando s serves portuguese food,"['inform', 'offer']"
203,9,is there anything else,['reqalts']
203,10,i am sorry but there is no other portuguese restaurant that matches your request,"['canthelp.exception', 'canthelp']"
203,11,any price,['request']
203,12,nando s is a great restaurant,['offer']
203,13,portuguese food any price,['inform']
203,14,nando s city centre serves portuguese food,"['inform', 'offer']"
203,15,price range,['request']
203,16,nando s city centre is in the cheap price range,"['inform', 'offer']"
203,17,is there anything else,['reqalts']
203,18,i am sorry but there is no other portuguese restaurant that matches your request,"['canthelp.exception', 'canthelp']"
203,19,thank you good bye,"['thankyou', 'bye']"
204,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
204,1,im looking for a pan asian food in the south of town,['inform']
204,2,what kind of food would you like?,['request']
204,3,pan asian,['inform']
204,4,what kind of food would you like?,['request']
204,5,pan asian,['inform']
204,6,chiquito restaurant bar is in the south part of town,"['inform', 'offer']"
204,7,chinese food,['inform']
204,8,the good luck chinese food takeaway is a nice restaurant in the south of town serving chinese food,"['inform', 'offer']"
204,9,whats the addresses and price range,['request']
204,10,sure the good luck chinese food takeaway is on cherry hinton road cherry hinton,"['inform', 'offer']"
204,11,what is the price range,['request']
204,12,the good luck chinese food takeaway is in the expensive price range,"['inform', 'offer']"
204,13,thank you good bye,"['thankyou', 'bye']"
205,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
205,1,im looking for expensive spanish food,['inform']
205,2,maharajah tandoori restaurant is in the expensive price range,"['inform', 'offer']"
205,3,how about modern european,"['inform', 'reqalts']"
205,4,taj tandoori is in the expensive price range,"['inform', 'offer']"
205,5,what type of food is it,['request']
205,6,taj tandoori serves indian food,"['inform', 'offer']"
205,7,im looking for mediterranean,['null']
205,8,you are looking for a modern european restaurant right?,['expl-conf']
205,9,modern european,['null']
205,10,cookhouse and wine shop serves modern european food in the expensive price range,"['inform', 'offer']"
205,11,what is the addresses and phone number,['request']
205,12,the phone number of cookhouse and wine shop is and it is on king street city centre,"['inform', 'offer']"
205,13,thank you good bye,"['thankyou', 'bye']"
206,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
206,1,african food in any price range,['inform']
206,2,you are looking for a restaurant is that right?,['confirm-domain']
206,3,yes african food,"['inform', 'affirm']"
206,4,bedouin is a great restaurant serving african food and it is in the expensive price range,"['inform', 'offer']"
206,5,addresses phone number and area,['request']
206,6,the phone number of bedouin is and it is on mill road city centre,"['inform', 'offer']"
206,7,what area is it in,['request']
206,8,bedouin is a nice place in the centre of town,"['inform', 'offer']"
206,9,thank you good bye,"['thankyou', 'bye']"
207,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
207,1,japanese food in the center of town,['inform']
207,2,what kind of food would you like?,['request']
207,3,cantonese,['inform']
207,4,what kind of food would you like?,['request']
207,5,cantonese,['inform']
207,6,what kind of food would you like?,['request']
207,7,cantonese,['inform']
207,8,i m sorry but there is no restaurant serving cantonese food,['canthelp']
207,9,international food,['inform']
207,10,the varsity restaurant is a nice place in the centre of town serving tasty international food,"['inform', 'offer']"
207,11,phone number and pri,['request']
207,12,the varsity restaurant is a great restaurant,['offer']
207,13,phone number,['request']
207,14,the phone number of the varsity restaurant is,"['inform', 'offer']"
207,15,price range,['request']
207,16,the varsity restaurant is in the moderate price range,"['inform', 'offer']"
207,17,thank you good bye,"['thankyou', 'bye']"
208,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
208,1,looking for a moderately priced restaurant in the north of town,['inform']
208,2,meghna is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
208,3,what is the addresses and phone number,['request']
208,4,the phone number of meghna is and it is on victoria road chesterton,"['inform', 'offer']"
208,5,thank you good bye,"['thankyou', 'bye']"
209,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
209,1,restaurant in the center,['inform']
209,2,what part of town do you have in mind?,['request']
209,3,serving romania food,['null']
209,4,i am sorry but there is no romanian restaurant that matches your request,['canthelp']
209,5,noise,['null']
209,6,i am sorry but there is no romanian restaurant that matches your request,['canthelp']
209,7,modern european,['inform']
209,8,de luca cucina and bar serves modern european food,"['inform', 'offer']"
209,9,addresses,['request']
209,10,de luca cucina and bar serves modern european food,"['inform', 'offer']"
209,11,addresses,['request']
209,12,sure de luca cucina and bar is on regent street,"['inform', 'offer']"
209,13,thank you good bye,"['thankyou', 'bye']"
210,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
210,1,cheap restaurant barbecue food,['inform']
210,2,what kind of food would you like?,['request']
210,3,barbecue,['inform']
210,4,sorry there is no barbeque restaurant in the cheap price range,['canthelp']
210,5,mediterranean,['inform']
210,6,the gardenia is a great restaurant serving mediterranean food and it is in the cheap price range,"['inform', 'offer']"
210,7,phone number,['request']
210,8,the phone number of the gardenia is,"['inform', 'offer']"
210,9,post code,['request']
210,10,the post code of the gardenia is c b l l,"['inform', 'offer']"
210,11,thank you good bye,"['thankyou', 'bye']"
211,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
211,1,unintelligible restaurant,['null']
211,2,what part of town do you have in mind?,['request']
211,3,south,['inform']
211,4,what part of town do you have in mind?,['request']
211,5,south part of town,['inform']
211,6,what part of town do you have in mind?,['request']
211,7,south,['inform']
211,8,sorry would you like something in the south or in the north,['select']
211,9,south,['inform']
211,10,did you say you are looking for a restaurant in the south of town?,['expl-conf']
211,11,yes,['affirm']
211,12,what kind of food would you like?,['request']
211,13,dont matter,['inform']
211,14,what kind of food would you like?,['request']
211,15,doesnt matter,['inform']
211,16,what kind of food would you like?,['request']
211,17,dont matter,['inform']
211,18,would you like something in the cheap moderate or expensive price range?,['request']
211,19,expensive,['inform']
211,20,frankie and is a nice place in the south of town and the prices are expensive,"['inform', 'offer']"
211,21,addresses,['request']
211,22,sure frankie and is on cambridge leisure park clifton way cherry hinton,"['inform', 'offer']"
211,23,phone number,['request']
211,24,the phone number of frankie and is,"['inform', 'offer']"
211,25,type of food,['request']
211,26,frankie and is a great restaurant,['offer']
211,27,type of food,['request']
211,28,frankie and serves italian food,"['inform', 'offer']"
211,29,thank you good bye,"['thankyou', 'bye']"
212,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
212,1,moderately priced restaurant in the north part of town,['inform']
212,2,what part of town do you have in mind?,['request']
212,3,north,['inform']
212,4,the nirala is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
212,5,phone number,['request']
212,6,the nirala is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
212,7,phone number,['request']
212,8,the nirala is a nice restaurant in the north of town in the moderate price range,"['inform', 'offer']"
212,9,phone number,['request']
212,10,the phone number of the nirala is,"['inform', 'offer']"
212,11,thank you good bye,"['thankyou', 'bye']"
213,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
213,1,sil,['null']
213,2,what part of town do you have in mind?,['request']
213,3,sil,['null']
213,4,what part of town do you have in mind?,['request']
213,5,sil,['null']
213,6,what part of town do you have in mind?,['request']
213,7,sil,['null']
213,8,what part of town do you have in mind?,['request']
213,9,sil,['null']
213,10,sorry would you like something in the east or in the west,['select']
213,11,sil,['null']
213,12,did you say you are looking for a restaurant in the east of town?,['expl-conf']
213,13,yes,['affirm']
213,14,did you say you are looking for a restaurant in the east of town?,['expl-conf']
213,15,yes,['affirm']
213,16,what kind of food would you like?,['request']
213,17,unintelligible,['null']
213,18,what kind of food would you like?,['request']
213,19,sil,['null']
213,20,what kind of food would you like?,['request']
213,21,doesnt matter,['inform']
213,22,would you like something in the cheap moderate or expensive price range?,['request']
213,23,sil,['null']
213,24,sorry would you like something in the cheap price range or you dont care,['select']
213,25,sil,['null']
213,26,sorry would you like something in the cheap price range or you dont care,['select']
213,27,dont care,['inform']
213,28,sorry would you like something in the cheap price range or you dont care,['select']
213,29,dont care,['inform']
213,30,sorry would you like something in the cheap price range or you dont care,['select']
213,31,sil,['null']
213,32,you are looking for a restaurant serving any kind of food right?,['expl-conf']
213,33,sil,['null']
213,34,sorry would you like something in the cheap price range or you dont care,['select']
213,35,sil,['null']
213,36,sorry would you like something in the cheap price range or you dont care,['select']
213,37,dont care,['inform']
213,38,sorry would you like something in the cheap price range or you dont care,['select']
213,39,hello,['hello']
213,40,sitar tandoori is a nice place in the east of town,"['inform', 'offer']"
213,41,anything else,['reqalts']
213,42,royal standard is a nice place in the east of town,"['inform', 'offer']"
213,43,addresses,['request']
213,44,royal standard is a great restaurant,['offer']
213,45,addresses,['request']
213,46,sure royal standard is on mill road city centre,"['inform', 'offer']"
213,47,thank you good bye,"['thankyou', 'bye']"
213,48,royal standard is a great restaurant,['offer']
213,49,thank you good bye,"['thankyou', 'bye']"
214,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
214,1,restaurant serving fusion food,['inform']
214,2,i m sorry but there is no restaurant serving fusion food,['canthelp']
214,3,how about mediterranean,"['inform', 'reqalts']"
214,4,the lucky star is in the cheap price range,"['inform', 'offer']"
214,5,type of food,['request']
214,6,the lucky star is a great restaurant,['offer']
214,7,mediterranean,['inform']
214,8,the gardenia serves mediterranean food in the cheap price range,"['inform', 'offer']"
214,9,phone number and post code,['request']
214,10,the phone number of the gardenia is and its postcode is c b l l,"['inform', 'offer']"
214,11,good bye,['bye']
215,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
215,1,an expensive restaurant in the south part of town,['inform']
215,2,what kind of food would you like?,['request']
215,3,any kind,['inform']
215,4,taj tandoori is a nice place in the south of town and the prices are expensive,"['inform', 'offer']"
215,5,addresses,['request']
215,6,sure taj tandoori is on cherry hinton road cherry hinton,"['inform', 'offer']"
215,7,phone number,['request']
215,8,the phone number of taj tandoori is,"['inform', 'offer']"
215,9,the post code,['request']
215,10,the post code of taj tandoori is c b a a,"['inform', 'offer']"
215,11,good bye,['bye']
216,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
216,1,cheap,['inform']
216,2,what part of town do you have in mind?,['request']
216,3,anywhere,['inform']
216,4,what kind of food would you like?,['request']
216,5,international,['inform']
216,6,the missing sock serves international food in the cheap price range,"['inform', 'offer']"
216,7,addresses and phone number,['request']
216,8,the phone number of the missing sock is and it is on finders corner newmarket road,"['inform', 'offer']"
216,9,good bye,['bye']
217,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
217,1,moderately priced,['inform']
217,2,what part of town do you have in mind?,['request']
217,3,south,['inform']
217,4,did you say you are looking for a restaurant in the south of town?,['expl-conf']
217,5,yes,['affirm']
217,6,what kind of food would you like?,['request']
217,7,any kind,['inform']
217,8,restaurant is a nice place in the south of town and the prices are moderate,"['inform', 'offer']"
217,9,phone number,['request']
217,10,the phone number of restaurant is,"['inform', 'offer']"
217,11,addresses,['request']
217,12,sure restaurant is on hills road,"['inform', 'offer']"
217,13,good bye,['bye']
218,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
218,1,bye,['bye']
218,2,what part of town do you have in mind?,['request']
218,3,west,['inform']
218,4,would you like something in the cheap moderate or expensive price range?,['request']
218,5,moderate,['inform']
218,6,prezzo is a nice restaurant in the west of town in the moderate price range,"['inform', 'offer']"
218,7,phone number,['request']
218,8,prezzo is a nice restaurant in the west of town in the moderate price range,"['inform', 'offer']"
218,9,phone number,['request']
218,10,the phone number of prezzo is,"['inform', 'offer']"
218,11,good bye,['bye']
219,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
219,1,cheap restaurant,['inform']
219,2,what part of town do you have in mind?,['request']
219,3,any where,['inform']
219,4,what kind of food would you like?,['request']
219,5,mediterranean,['inform']
219,6,the gardenia is a nice restaurant in the centre of town serving mediterranean food,"['inform', 'offer']"
219,7,price range,['request']
219,8,the gardenia is in the cheap price range,"['inform', 'offer']"
219,9,addresses and phone number,['request']
219,10,the phone number of the gardenia is and it is on rose crescent city centre,"['inform', 'offer']"
219,11,good bye,['bye']
220,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
220,1,cheap restaurant in the west part of town,['inform']
220,2,what kind of food would you like?,['request']
220,3,any kind,['inform']
220,4,thanh binh is a nice place in the west of town and the prices are cheap,"['inform', 'offer']"
220,5,phone number,['request']
220,6,thanh binh is a great restaurant,['offer']
220,7,phone number,['request']
220,8,the phone number of thanh binh is,"['inform', 'offer']"
220,9,good bye,['bye']
221,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
221,1,a cheap restaurant serving mexican food,['inform']
221,2,sorry there is no mexican restaurant in the cheap price range,['canthelp']
221,3,how about chinese,"['inform', 'reqalts']"
221,4,rice house is a great restaurant serving chinese food and it is in the cheap price range,"['inform', 'offer']"
221,5,addresses,['request']
221,6,sure rice house is on mill road city centre,"['inform', 'offer']"
221,7,phone number,['request']
221,8,the phone number of rice house is,"['inform', 'offer']"
221,9,good bye,['bye']
222,0,hello welcome to the cambridge restaurant system? you can ask for restaurants by area price range or food type how may i help you?,['welcomemsg']
222,1,moderately priced in the west part of town,['inform']
